benchmark,closure,referenced,referenced non-empty,read non-empty,used,unused non-empty,present non-empty,exact match,widened,narrowed,optimized away non-empty,dependent,other reasons unused non-empty,polluted,used polluted,unused polluted,used polluted exact match,used polluted widened,used polluted narrowed
"kaggle:titanic","asNamespace",28,22,18,4,18,7,4,0,0,11,17,1,2,0,2,0,0,0
"kaggle:titanic","isNamespace",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","isBaseNamespace",11,11,9,1,10,2,1,0,0,8,10,0,2,0,2,0,0,0
"kaggle:titanic","sys.frame",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","match",4,4,4,1,3,1,0,1,0,2,0,1,1,0,1,0,0,0
"kaggle:titanic",".identC",7,4,4,1,3,3,1,0,0,0,0,3,1,0,1,0,0,0
"kaggle:titanic","getClassDef",49,10,9,0,10,6,0,0,0,4,4,4,0,0,0,0,0,0
"kaggle:titanic",".getClassesFromCache",7,4,4,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0
"kaggle:titanic","getClassDef",49,10,9,0,10,6,0,0,0,4,4,4,0,0,0,0,0,0
"kaggle:titanic","getClassDef",49,10,9,0,10,6,0,0,0,4,4,4,0,0,0,0,0,0
"kaggle:titanic","is",124,39,32,12,27,15,6,6,0,12,23,3,1,0,1,0,0,0
"kaggle:titanic","parent.frame",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","get0",6,5,5,0,5,5,0,0,0,0,0,5,3,0,3,0,0,0
"kaggle:titanic","typeof",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","parent.env",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic",".registerS3method",77,39,28,10,29,13,2,8,0,16,18,6,4,0,4,0,0,0
"kaggle:titanic","delayedAssign",7,5,4,1,4,3,0,1,0,1,3,1,0,0,0,0,0,0
"kaggle:titanic","asNamespace",28,24,20,5,19,9,4,1,0,10,17,2,2,0,2,0,0,0
"kaggle:titanic","asNamespace",33,27,21,4,23,10,4,0,0,13,19,3,3,0,3,0,0,0
"kaggle:titanic","environment",1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
"kaggle:titanic",".registerS3method",77,41,29,10,31,14,2,8,0,17,21,5,7,1,6,0,1,0
"kaggle:titanic","asNamespace",33,27,21,5,22,10,4,1,0,12,19,2,3,1,2,0,1,0
"kaggle:titanic","setNamespaceInfo",7,7,7,4,3,2,1,3,0,1,3,0,1,1,0,1,0,0
"kaggle:titanic","asNamespace",33,27,15,4,23,10,4,0,0,13,19,3,3,0,3,0,0,0
"kaggle:titanic",".getNamespaceInfo",5,4,4,2,2,2,0,2,0,0,1,1,1,0,1,0,0,0
"kaggle:titanic","%in%",8,8,8,2,6,3,1,1,0,3,0,3,5,1,4,1,0,0
"kaggle:titanic","character",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"kaggle:titanic","readRDS",21,11,9,0,11,8,0,0,0,3,8,3,0,0,0,0,0,0
"kaggle:titanic","isTRUE",11,8,7,4,4,1,3,1,0,3,3,0,1,1,0,0,1,0
"kaggle:titanic","FUN",3,3,1,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0
"kaggle:titanic","FUN",8,8,3,0,8,3,0,0,0,5,2,2,2,0,2,0,0,0
"kaggle:titanic","strlpad",11,11,2,0,11,2,0,0,0,9,6,1,0,0,0,0,0,0
"kaggle:titanic","which",12,3,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0
"kaggle:titanic","rep.int",2,2,2,2,0,0,1,1,0,0,0,0,2,2,0,1,1,0
"kaggle:titanic","new.env",4,4,3,2,2,0,1,1,0,2,0,0,1,1,0,0,1,0
"kaggle:titanic","asNamespace",33,27,21,4,23,10,4,0,0,13,19,3,3,0,3,0,0,0
"kaggle:titanic","is.vector",2,2,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0
"kaggle:titanic",".standard_regexps",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","unknown--fromConstant",5,4,4,0,4,3,0,0,0,1,2,2,0,0,0,0,0,0
"kaggle:titanic","grepl",56,16,14,3,13,9,2,1,0,4,9,1,2,0,2,0,0,0
"kaggle:titanic","unique",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","unlist",27,5,5,0,5,5,0,0,0,0,5,0,2,0,2,0,0,0
"kaggle:titanic","lapply",17,16,10,0,16,9,0,0,0,7,13,1,9,0,9,0,0,0
"kaggle:titanic","as.list",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","setNamespaceInfo",7,7,7,4,3,2,1,3,0,1,3,0,1,1,0,1,0,0
"kaggle:titanic","getNamespaceName",23,22,18,5,17,6,2,3,0,11,14,2,3,0,3,0,0,0
"kaggle:titanic","%in%",8,8,8,2,6,3,1,1,0,3,0,3,5,1,4,1,0,0
"kaggle:titanic","startsWith",2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
"kaggle:titanic","sys.frame",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","dynGet",108,70,52,17,53,27,11,6,0,26,47,1,12,3,9,0,3,0
"kaggle:titanic","get0",6,5,5,1,4,4,0,1,0,0,0,4,3,1,2,0,1,0
"kaggle:titanic","sys.nframe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","environmentIsLocked",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","strsplit",7,6,4,2,4,2,1,1,0,2,4,0,0,0,0,0,0,0
"kaggle:titanic","parent.frame",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"kaggle:titanic","getNamespaceInfo",6,6,3,0,6,3,0,0,0,3,4,1,1,0,1,0,0,0
"kaggle:titanic","get",6,4,4,1,3,3,0,1,0,0,0,3,1,1,0,0,1,0
"kaggle:titanic","environment",1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"kaggle:titanic","FUN",4,4,4,3,1,1,1,2,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","FUN",40,23,12,6,17,6,1,5,0,11,14,1,2,0,2,0,0,0
"kaggle:titanic","exists",8,4,4,1,3,3,0,1,0,0,1,2,0,0,0,0,0,0
"kaggle:titanic","tryCatchList",35,12,7,1,11,4,1,0,0,7,8,0,2,0,2,0,0,0
"kaggle:titanic","tryCatchOne",30,4,0,0,4,0,0,0,0,4,0,0,1,0,1,0,0,0
"kaggle:titanic","doTryCatch",7,6,6,0,6,5,0,0,0,1,3,3,0,0,0,0,0,0
"kaggle:titanic","vapply",17,11,9,0,11,8,0,0,0,3,6,3,6,0,6,0,0,0
"kaggle:titanic","",81,43,32,19,24,9,7,12,0,15,21,3,0,0,0,0,0,0
"kaggle:titanic","existsInFrame",2,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","parent.env<-",2,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0
"kaggle:titanic","as.list",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","do.call",9,6,5,1,5,4,0,1,0,1,3,2,2,1,1,0,1,0
"kaggle:titanic","eval",8,6,3,1,5,2,0,1,0,3,5,0,1,1,0,0,1,0
"kaggle:titanic","delayedAssign",7,5,4,0,5,4,0,0,0,1,3,2,0,0,0,0,0,0
"kaggle:titanic","sys.parent",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"kaggle:titanic","formals",10,3,3,1,2,2,0,1,0,0,1,1,0,0,0,0,0,0
"kaggle:titanic","sys.function",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","match.arg",77,53,42,15,38,16,10,5,0,22,32,0,5,0,5,0,0,0
"kaggle:titanic","strsplit",7,6,3,1,5,2,0,1,0,3,5,0,0,0,0,0,0,0
"kaggle:titanic","get0",6,5,5,1,4,4,0,1,0,0,0,4,3,1,2,0,1,0
"kaggle:titanic","getHook",4,4,1,0,4,1,0,0,0,3,2,0,0,0,0,0,0,0
"kaggle:titanic","match.arg",77,53,42,15,38,16,10,5,0,22,32,0,5,0,5,0,0,0
"kaggle:titanic","packageEvent",21,19,10,2,17,5,0,2,0,12,13,1,2,0,2,0,0,0
"kaggle:titanic","isNamespaceLoaded",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","assign",6,4,4,1,3,3,0,1,0,0,0,3,0,0,0,0,0,0
"kaggle:titanic","setHook",38,19,10,4,15,4,1,3,0,11,11,0,2,1,1,0,1,0
"kaggle:titanic","which",12,3,2,1,2,1,1,0,0,1,0,1,2,1,1,1,0,0
"kaggle:titanic","NextMethod",4,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","match",4,4,4,2,2,1,0,2,0,1,0,1,1,1,0,0,1,0
"kaggle:titanic","anyDuplicated",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","%in%",8,8,8,3,5,2,1,2,0,3,0,2,5,2,3,1,1,0
"kaggle:titanic","vapply",17,11,9,0,11,8,0,0,0,3,4,5,7,0,7,0,0,0
"kaggle:titanic","unique",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","setdiff",22,18,15,2,16,12,0,2,0,4,13,2,11,2,9,0,2,0
"kaggle:titanic","as.vector",2,2,2,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"kaggle:titanic",".rlang_vctrs_typeof",33,16,11,0,16,2,0,0,0,14,13,1,3,0,3,0,0,0
"kaggle:titanic","accessor",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"kaggle:titanic",".row_names_info",2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
"kaggle:titanic","isFALSE",11,8,7,1,7,1,1,0,0,6,6,0,0,0,0,0,0,0
"kaggle:titanic","identical",8,8,8,0,8,2,0,0,0,6,8,0,2,0,2,0,0,0
"kaggle:titanic","integer",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","vec_size",16,14,11,6,8,3,5,1,0,5,0,3,5,1,4,0,1,0
"kaggle:titanic","is.data.frame",5,5,4,1,4,1,1,0,0,3,0,1,2,0,2,0,0,0
"kaggle:titanic","new_data_frame",37,32,22,9,23,10,8,1,0,13,12,4,10,1,9,0,1,0
"kaggle:titanic","",144,79,52,15,64,26,12,3,0,38,47,7,20,1,19,0,1,0
"kaggle:titanic",".rlang_vctrs_typeof",41,24,20,3,21,8,3,0,0,13,18,2,5,0,5,0,0,0
"kaggle:titanic","FUN",11,7,7,4,3,2,3,1,0,1,0,2,1,0,1,0,0,0
"kaggle:titanic","unknown--fromConstant",4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","",10,10,9,1,9,1,1,0,0,8,9,0,2,0,2,0,0,0
"kaggle:titanic",".set_row_names",6,5,5,0,5,4,0,0,0,1,4,1,0,0,0,0,0,0
"kaggle:titanic","vec_is_unspecified",19,6,6,0,6,4,0,0,0,2,2,2,2,0,2,0,0,0
"kaggle:titanic","as.list",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","vec_size",16,14,11,6,8,3,5,1,0,5,0,3,5,1,4,0,1,0
"kaggle:titanic","is_function",5,3,3,1,2,2,1,0,0,0,0,2,1,0,1,0,0,0
"kaggle:titanic",".row_names_info",2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
"kaggle:titanic","strrep",10,5,5,1,4,4,1,0,0,0,2,2,1,1,0,1,0,0
"kaggle:titanic","is",124,42,35,13,29,17,7,6,0,12,24,5,10,2,8,0,2,0
"kaggle:titanic","identical",8,8,8,0,8,2,0,0,0,6,8,0,2,0,2,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic",".updateMethodsInTable",106,70,41,13,57,19,7,6,0,38,51,3,3,0,3,0,0,0
"kaggle:titanic",".updateMethodsInTable",106,70,41,13,57,19,7,6,0,38,51,3,3,0,3,0,0,0
"kaggle:titanic","match",4,4,4,2,2,0,0,2,0,2,0,0,1,1,0,0,1,0
"kaggle:titanic","environment",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","exists",8,6,4,1,5,3,0,1,0,2,3,2,1,1,0,0,1,0
"kaggle:titanic","remove",46,29,25,6,23,14,2,4,0,9,14,6,7,0,7,0,0,0
"kaggle:titanic","sapply",32,20,15,4,16,8,4,0,0,8,14,1,0,0,0,0,0,0
"kaggle:titanic","getGroupMembers",38,25,12,3,22,7,2,1,0,15,20,1,2,0,2,0,0,0
"kaggle:titanic",".getGenericFromCacheTable",59,10,6,2,8,3,2,0,0,5,7,1,0,0,0,0,0,0
"kaggle:titanic",".resetInheritedMethods",50,27,18,11,16,5,4,7,0,11,15,0,10,2,8,1,1,0
"kaggle:titanic","getGeneric",132,51,30,11,40,19,6,5,0,21,36,1,5,0,5,0,0,0
"kaggle:titanic","getGeneric",132,51,30,11,40,19,6,5,0,21,36,1,5,0,5,0,0,0
"kaggle:titanic",".recMembers",61,45,34,18,27,12,7,11,0,15,23,2,2,0,2,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","exists",8,6,4,1,5,3,0,1,0,2,3,2,1,1,0,0,1,0
"kaggle:titanic",".getGenericFromCacheTable",59,10,6,2,8,3,2,0,0,5,7,1,0,0,0,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","FUN",10,7,6,3,4,3,1,2,0,1,3,1,0,0,0,0,0,0
"kaggle:titanic","environment",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","FUN",13,3,2,1,2,1,1,0,0,1,2,0,0,0,0,0,0,0
"kaggle:titanic","lapply",17,16,10,0,16,9,0,0,0,7,13,1,9,0,9,0,0,0
"kaggle:titanic","is",124,42,35,13,29,17,7,6,0,12,24,5,10,2,8,0,2,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","getGroupMembers",38,25,12,3,22,7,2,1,0,15,20,1,2,0,2,0,0,0
"kaggle:titanic",".getGeneric",50,31,22,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic",".getGeneric",50,31,22,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","getGeneric",132,51,30,10,41,20,5,5,0,21,37,1,5,0,5,0,0,0
"kaggle:titanic","parent.frame",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","lapply",17,16,10,0,16,9,0,0,0,7,13,1,9,0,9,0,0,0
"kaggle:titanic","environment",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","environment",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic",".checkGroupSigLength",194,82,69,37,45,22,21,16,0,23,41,3,1,0,1,0,0,0
"kaggle:titanic","getGroupMembers",38,25,12,3,22,7,2,1,0,15,20,1,2,0,2,0,0,0
"kaggle:titanic","vector",2,2,2,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0
"kaggle:titanic","setdiff",22,18,15,2,16,11,0,2,0,5,13,2,11,2,9,0,2,0
"kaggle:titanic",".recMembers",61,45,34,18,27,12,7,11,0,15,23,2,2,0,2,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","accessor",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","environment",1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic",".checkGroupSigLength",194,82,69,36,46,22,21,15,0,24,42,3,1,0,1,0,0,0
"kaggle:titanic","getGroupMembers",38,25,12,3,22,7,2,1,0,15,20,1,2,0,2,0,0,0
"kaggle:titanic",".getGeneric",50,31,23,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","isGroup",7,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"kaggle:titanic","cacheGenericsMetaData",108,54,30,7,47,16,6,1,0,31,34,8,8,1,7,0,1,0
"kaggle:titanic","getGeneric",132,51,30,11,40,19,6,5,0,21,36,1,5,0,5,0,0,0
"kaggle:titanic","",27,4,4,1,3,1,0,1,0,2,1,1,2,1,1,0,1,0
"kaggle:titanic","dispatchIsInternal",11,7,6,1,6,2,1,0,0,4,1,2,3,0,3,0,0,0
"kaggle:titanic",".cacheGeneric",68,23,12,4,19,8,2,2,0,11,17,0,2,0,2,0,0,0
"kaggle:titanic","setPrimitiveMethods",16,7,7,0,7,7,0,0,0,0,3,4,0,0,0,0,0,0
"kaggle:titanic",".getMethodsTable",14,10,3,1,9,1,1,0,0,8,8,0,0,0,0,0,0,0
"kaggle:titanic","find.package",310,87,62,32,55,24,17,15,0,31,43,5,17,5,12,2,3,0
"kaggle:titanic","tryCatch",53,26,17,7,19,7,3,4,0,12,15,1,4,0,4,0,0,0
"kaggle:titanic","do.call",9,6,5,1,5,4,0,1,0,1,3,2,3,1,2,0,1,0
"kaggle:titanic","grepl",56,16,14,3,13,9,2,1,0,4,9,1,2,0,2,0,0,0
"kaggle:titanic","ncol",4,3,3,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0
"kaggle:titanic","methodsPackageMetaName",9,5,5,0,5,5,0,0,0,0,4,1,0,0,0,0,0,0
"kaggle:titanic","Sys.getenv",59,19,18,6,13,7,4,2,0,6,11,0,1,0,1,0,0,0
"kaggle:titanic","classMetaName",11,7,6,0,7,6,0,0,0,1,6,1,0,0,0,0,0,0
"kaggle:titanic",".getGeneric",50,31,22,5,26,17,3,2,0,9,15,5,8,1,7,1,0,0
"kaggle:titanic","genericForBasic",13,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","getGeneric",132,51,30,10,41,20,5,5,0,21,37,1,5,0,5,0,0,0
"kaggle:titanic","lengths",2,2,2,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0
"kaggle:titanic","simplify2array",151,23,20,8,15,8,5,3,0,7,14,1,2,0,2,0,0,0
"kaggle:titanic","character",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","FUN",36,15,6,2,13,4,1,1,0,9,8,2,1,0,1,0,0,0
"kaggle:titanic","tryCatch",53,26,17,7,19,7,3,4,0,12,15,1,4,0,4,0,0,0
"kaggle:titanic","aperm",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","apply",375,126,112,48,78,32,39,9,0,46,73,1,4,0,4,0,0,0
"kaggle:titanic","normalizePath",5,5,4,0,5,4,0,0,0,1,3,2,0,0,0,0,0,0
"kaggle:titanic","matrix",13,9,6,0,9,4,0,0,0,5,8,0,2,0,2,0,0,0
"kaggle:titanic","strsplit",7,6,3,2,4,1,0,2,0,3,4,0,0,0,0,0,0,0
"kaggle:titanic","nchar",4,4,4,1,3,0,0,1,0,3,2,0,1,1,0,0,1,0
"kaggle:titanic","vapply",17,11,9,0,11,8,0,0,0,3,4,5,7,0,7,0,0,0
"kaggle:titanic","list2env",2,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","nrow",4,3,3,1,2,2,1,0,0,0,0,2,1,0,1,0,0,0
"kaggle:titanic","lockEnvironment",2,2,2,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0
"kaggle:titanic","packageEvent",21,19,10,1,18,6,0,1,0,12,12,3,4,0,4,0,0,0
"kaggle:titanic","tryCatch",53,26,17,7,19,7,3,4,0,12,15,1,4,0,4,0,0,0
"kaggle:titanic","try",4,2,1,0,2,1,0,0,0,1,2,0,2,0,2,0,0,0
"kaggle:titanic","do.call",9,6,5,1,5,4,0,1,0,1,3,2,3,1,2,0,1,0
"kaggle:titanic",".make_numeric_version",51,32,23,11,21,9,4,6,1,12,17,2,6,3,3,0,2,1
"kaggle:titanic","which",12,3,2,1,2,1,1,0,0,1,0,1,2,1,1,1,0,0
"kaggle:titanic","NextMethod",4,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"kaggle:titanic","split",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic",".encode_numeric_version",158,92,58,12,80,38,7,5,0,42,61,7,43,4,39,1,3,0
"kaggle:titanic","ifelse",105,31,31,15,16,10,11,4,0,6,12,2,18,9,9,7,2,0
"kaggle:titanic","sort.int",239,13,11,1,12,7,1,0,0,5,12,0,0,0,0,0,0,0
"kaggle:titanic","makeImportExportNames",20,9,9,3,6,5,0,3,0,1,5,1,0,0,0,0,0,0
"kaggle:titanic","namespaceIsSealed",3,3,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0
"kaggle:titanic","whichMethodMetaNames",12,8,7,3,5,3,3,0,0,2,3,1,0,0,0,0,0,0
"kaggle:titanic","importIntoEnv",90,33,22,3,30,17,2,1,0,13,22,4,7,1,6,1,0,0
"kaggle:titanic","asNamespace",33,27,15,5,22,9,4,1,0,13,19,2,3,1,2,0,1,0
"kaggle:titanic","asNamespace",33,27,15,5,22,9,4,1,0,13,19,2,3,1,2,0,1,0
"kaggle:titanic","addImports",96,63,37,16,47,20,7,9,0,27,41,1,13,3,10,1,2,0
"kaggle:titanic","new.env",4,4,3,2,2,0,1,1,0,2,0,0,1,1,0,0,1,0
"kaggle:titanic","mkenv",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","as.name",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","lazyLoadDBexec",46,36,24,7,29,15,3,4,0,14,24,3,0,0,0,0,0,0
"kaggle:titanic","readRDS",11,8,7,0,8,6,0,0,0,2,6,2,0,0,0,0,0,0
"kaggle:titanic","close",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"kaggle:titanic","environment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic",".dynLibs",4,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0
"kaggle:titanic","FUN",6,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
"kaggle:titanic","tolower",7,3,3,1,2,2,0,1,0,0,1,1,2,1,1,0,1,0
"kaggle:titanic","pmatch",8,6,6,2,4,2,0,2,0,2,2,0,0,0,0,0,0,0
"kaggle:titanic","vector",2,2,2,0,2,2,0,0,0,0,0,2,1,0,1,0,0,0
"kaggle:titanic","unlist",27,5,5,1,4,4,0,1,0,0,4,0,2,1,1,0,1,0
"kaggle:titanic","rm",46,35,27,7,28,15,3,4,0,13,19,4,13,2,11,0,2,0
"kaggle:titanic","",113,64,38,9,55,22,9,0,0,33,50,2,0,0,0,0,0,0
"kaggle:titanic","regularize.values",152,50,41,16,34,13,14,2,0,21,34,0,2,0,2,0,0,0
"kaggle:titanic","fx",10,6,4,0,6,4,0,0,0,2,5,1,5,0,5,0,0,0
"kaggle:titanic","unknown--fromConstant",45,18,16,4,14,10,2,2,0,4,10,1,5,0,5,0,0,0
"kaggle:titanic","is.logint",9,6,5,0,6,1,0,0,0,5,3,1,1,0,1,0,0,0
"kaggle:titanic","lintrj",7,7,7,1,6,5,1,0,0,1,6,0,0,0,0,0,0,0
"kaggle:titanic","",107,45,36,10,35,18,6,4,0,17,26,6,3,0,3,0,0,0
"kaggle:titanic","colour_ramp",101,53,34,9,44,25,7,2,0,19,34,7,3,0,3,0,0,0
"kaggle:titanic","as_white_ref",129,59,52,15,44,29,7,8,0,15,41,2,6,2,4,0,2,0
"kaggle:titanic","colnames<-",38,28,25,8,20,12,5,3,0,8,12,3,3,0,3,0,0,0
"kaggle:titanic","unknown--fromOverride",489,69,64,18,51,31,15,3,0,20,46,1,2,1,1,0,1,0
"kaggle:titanic","",409,109,70,12,97,47,8,4,0,50,90,4,4,0,4,0,0,0
"kaggle:titanic","rownames",17,6,6,1,5,2,0,1,0,3,4,1,0,0,0,0,0,0
"kaggle:titanic","hcl",13,7,7,0,7,7,0,0,0,0,3,4,2,0,2,0,0,0
"kaggle:titanic","colourspace_match",23,16,14,3,13,7,1,2,0,6,8,2,2,0,2,0,0,0
"kaggle:titanic","chkDots",15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","lintrj",7,7,7,3,4,3,3,0,0,1,4,0,0,0,0,0,0,0
"kaggle:titanic","seqhcl",66,53,25,4,49,18,3,1,0,31,43,5,2,0,2,0,0,0
"kaggle:titanic","lintrj",7,7,7,3,4,3,3,0,0,1,4,0,0,0,0,0,0,0
"kaggle:titanic","tritrj",26,26,1,0,26,1,0,0,0,25,25,0,0,0,0,0,0,0
"kaggle:titanic","ifelse",105,36,35,18,18,11,13,5,0,7,13,3,20,11,9,6,5,0
"kaggle:titanic","charmatch",7,5,5,2,3,3,0,2,0,0,2,1,0,0,0,0,0,0
"kaggle:titanic","seqhcl",66,53,25,4,49,18,3,1,0,31,43,5,2,0,2,0,0,0
"kaggle:titanic","rev",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","",409,168,95,20,148,59,13,7,0,89,141,4,4,0,4,0,0,0
"kaggle:titanic","rev",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","",396,234,112,29,205,64,19,10,0,141,202,0,2,0,2,0,0,0
"kaggle:titanic","rev",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kaggle:titanic","",396,234,111,29,205,63,19,10,0,142,202,0,2,0,2,0,0,0
"kaggle:titanic","check_function",20,6,5,2,4,2,2,0,0,2,0,2,1,0,1,0,0,0
"kaggle:titanic","fx",10,6,4,0,6,4,0,0,0,2,5,1,5,0,5,0,0,0
"kaggle:titanic","palette.match",13,11,6,3,8,2,1,2,0,6,6,0,0,0,0,0,0,0
